name,brand,concentration,gender,country,released,price,notes,style,description,url
Fragrance Fitting - Custom Sample Pack,,,,,,60,,,"Let us help you find your next signature scent! The Luckyscent Fragrance FittingÂ®is a selection of six samples, carefully handpicked for you by one of our knowledgeable Scent Bar team members. Your samples will be chosen based on information you give to us.In the box below, please provide us with some details about what you are looking for. For example, are you seeking a fragrance for evening, for work, everyday? Are there any fragrances you love or loathe? Which fragrance notes are you drawn to the most? You can also share any personal information that you feel might be relevant (e.g., age, style, personality traits, etc). The more details you can provide, the better!Et voila! Once we receive your information, we will carefully read through what you've written and make some personal selections we think you'll enjoy.Please note: if you are purchasing a fragrance fitting as a gift, we are unable to reach out to the recipient on your behalf. Please send us any relevant info for the receiver's fitting in the space provided when purchasingYour order will take 3-6 business days to process as we customize your sample pack.",https://www.luckyscent.com/products/fragrance-fitting
Kun Amo,Jeroboam,Extrait,Unisex,France,2025,130,"Mandarin, Bergamot, Almond, Crunchy Pear, Jasmine, Sea Spray, Raspberry, Cedarwood, Sugar, White Musks, Ambery Woods, Cashmeran","Floral - Fruity, Fruity, Powdery / Soft, Sweet, Woody - Amber","An homage to Jeroboam founder FranÃ§ois HÃ©nin's childhood memories of picking crisp pears from his family orchard, Kun Amo is a luminous and sensual perfume extract in which pear reigns supreme, transformed into a veritable olfactory muse. Sun-drenched, luscious and seductive, the fruit mingles with a generous dose of sweetness and captivating aromas, underpinned by modern, ambery woods and the houseâs emblematic musks, boasting an intense trail and remarkable hold to leave a lasting impression. Radiating with confidence and joy, Kun Amo is a bold perfume that asserts its presence with elegance and character.",https://www.luckyscent.com/products/kun-amo-by-jeroboam
Mango Sticky Rice,Dannam,Eau de Parfum,Unisex,,2026,160,"Ripe Mango, Sticky Rice, Coconut Milk","Creamy, Fruity, Gourmand, Milky, Sweet, Tropical / Beachy","Mango Sticky Rice pays homage to Thailandâs most beloved dessert, enjoyed for generations at temple fairs and family gatherings. This scent celebrates the harmony of juicy mangoes, tender sticky rice, and creamy coconut milk. An exquisite dish that embodies the sweetness of Thai hospitality.",https://www.luckyscent.com/products/mango-sticky-rice-by-dannam
Vanilified,Kerosene,Eau de Parfum,Unisex,,2026,164,"Vanilla, Vanilla Beans, Vanilla Bourbon, Vanilla Powder, Cocoa Absolute, Musk","Boozy, Creamy, Gourmand, Milky, Sweet","You enter an ice cream shop. You order a triple scoop vanilla cone with chocolate toppings. You wish you could smell like the decadent, creamy, mouthwateringly sweet ice cream you're enjoying. And now you can. Infused with multiple layers of succulent vanilla, Vanilified is an ice cream fanatic's ultimate gourmand fragrance delight.",https://www.luckyscent.com/products/vanilified-by-kerosene
With Angels and Archangels,Kerosene,Eau de Parfum,Unisex,,2026,164,"Sandalwood, Cedar, Incense, Charcoal, Rose, Musk","Floral - Spicy, Smoky, Spicy, Woody - Fresh, Woody - Spicy","It's you and the Divine together sharing a holy space. A plume of incense clouds the room filled with old wooden furniture and flowers.Wings flutter above, but are unseen and unheard. Yet, you are not alone.Deus Vobiscum Est.",https://www.luckyscent.com/products/with-angels-and-archangels-by-kerosene
Inner Child,Lepoque Parfums,Eau de Parfum,Unisex/Feminine,,2026,125,"Linen, Bergamot, Freesia, Vanilla, Lily Of The Valley, White Wood, Birch Wood, Skin Musk","Floral - Light, Fresh - Clean, Powdery / Soft, Woody - Light","The quiet luxury of being completely alone and starting fresh without announcing it. Soft, intimate, and unguarded. The version of you that exists before expectations, before performance, before being perceived. The comfort of returning to yourself.",https://www.luckyscent.com/products/inner-child-by-lepoque-parfums
Bianco Latte,Giardini Di Toscana,Eau de Parfum,Unisex/Feminine,,2023,160,"Caramel, Coumarin, Honey, Vanilla, White Musk",,"The sheer bliss of a warm embrace. The abiding memory of a bite of sweetness shared between loved ones. The deep satisfaction of complete comfort. This is Bianco Latte, an unforgettable cloud of gourmand perfection- mouthwatering ribbons of caramel swirled with syrupy honey and indulgently creamy vanilla, but given buoyant sensuality with a pillowy cloud of divine white musk. Playful yet seductive, Bianco Latte is a gourmand for those who indulge all sides of their sweet tooth.",https://www.luckyscent.com/products/bianco-latte-by-giardini-di-toscana
White Rice,Dannam,Eau de Parfum,Unisex,Vietnam,2023,160,"Rice, Pandan, Orris, Jasmine, White Musk, Cedarwood, Tonka Bean","Creamy, Floral - Light, Gourmand, Milky, Powdery / Soft, Skin Scent / Minimal","A tribute to Vietnam's cultural symbol of livelihood - the white jasmine rice. Found at nearly every Vietnamese meal, the humble bowl of rice has nurtured generations. This scent presents a subtly sweet aroma, harmonizing gentle softness with the rice grain's nuttiness. As you savor it, you embrace the heart of Vietnamese culture, where humble beginnings flourish into enduring strength.",https://www.luckyscent.com/products/white-rice-by-dannam
Celestial Object,Liis,Eau de Parfum,Unisex/Feminine,United States,2025,175,"Quince, Pink Pepper, Incense, Almond, Rice Paper, Labdanum, Tonka Bean","Avant-Garde, Fruity, Resinous / Balsamic, Skin Scent / Minimal, Warm","We are made of stars-- mystery, light, and infinite possibility. Celestial Object is a fragrance born of that cosmic connection between body and sky, its name drawn from the language of the heavens. A radiant opening of quince and pink pepper shimmers like constellations through a luminous haze, while almond and rice paper anchor the scent in soft, tactile warmth. A barely-there incense rises like a whispered prayer to the cosmos, and a deep accord of tonka and labdanum unfurls with the richness of midnight skies. The result is intimate, radiant, and as mesmerizing as stardust on your skin.",https://www.luckyscent.com/products/celestial-object-by-liis
"Hay, Zhasmina!",Chopova Lowena,Eau de Parfum,Unisex/Feminine,,2026,145,"Mandarin, Fennel, Pear, Neroli, Bergamot, Passionfruit, Lemon, Ginger Flower, Jasmine, Ylang-ylang, White Lotus, Vanilla, Bulgarian Rose, Musk, Ambergris, Cashmere, White Woods, Sandalwood, Caramel.","Floral, Floral - Fruity, Gourmand, Powdery / Soft, Sweet","Wouldn't it be nice to feel sweet and snuggly all the time? Hay, Zhasmina! is an amber and woody scent with notes of jasmine, fennel, ylang-ylang, and Bulgarian Rose. She has a natural warmth and kindness that complements her tender aura. In the heart of the Bulgarian Rose Valley, the damascene roses that bloom are distilled into the Bulgarian Rose oil that forms the base of this richly romantic perfume. Atop this rosy perfection, distilled leaves, roots and flowers are layered to create an eau de parfum. The result is a luxurious long-lasting scent ready to blossom on your skin, your clothes, and in your space.",https://www.luckyscent.com/products/hay-zhasmina-by-chopova-lowena
