name,brand,concentration,gender,country,released,price,notes,style,description,url
Fragrance Fitting - Custom Sample Pack,Brands,,,,,$,,,"Let us help you find your next signature scent! The Luckyscent Fragrance FittingÂ®is a selection of six samples, carefully handpicked for you by one of our knowledgeable Scent Bar team members. Your samples will be chosen based on information you give to us.",https://www.luckyscent.com/products/fragrance-fitting
Kun Amo,Brands,Extrait,Unisex,France,2025,$,"Mandarin, Bergamot, Almond, Crunchy Pear, Jasmine, Sea Spray, Raspberry, Cedarwood, Sugar, White Musks, Ambery Woods, Cashmeran","Floral - Fruity, Fruity, Powdery / Soft, Sweet, Woody - Amber",Jeroboam,https://www.luckyscent.com/products/kun-amo-by-jeroboam
Mango Sticky Rice,Brands,Eau de Parfum,Unisex,,2026,$,"Ripe Mango, Sticky Rice, Coconut Milk","Creamy, Fruity, Gourmand, Milky, Sweet, Tropical / Beachy",French Cowboy,https://www.luckyscent.com/products/mango-sticky-rice-by-dannam
Dandelion Butter,Brands,,Unisex,United States,2025,$?,"Pollen, Dandelion Greens, Yellow Dandelion, Snapped Stem, Milky Sap, Salted Butter, Dandelion-stained Chin","Floral, Floral - Light, Green / Herbaceous, Milky, Unusual / Unexpected, Warm","The boundlessly creative noses behind Clue draw fragrant inspiration from every nostalgic and evocative aspect of the American midwest, and for their fifth fragrance, they've targeted nostalgia itself- Dandelion Butter takes its name from a classic schoolchildren's game that goes back centuries. A plucked dandelion is held under someone's chin as they're asked, ""Do you like butter?"", as they turn their face to the sky to see if the flower casts a yellow glow on their chin. In some versions, the head of the flower is rubbed into the chin (""Chin Up, Buttercup!""), leaving a bright yellow streak that indicates, however silly the idea, that  the bearer of the mark has an obvious love of butter. It's the kind of whimsically illogical tradition that survives countless generations precisely because it doesn't quite make sense- except, perhaps, in the wonderfully playful and boundlessly curious world of childhood.",https://www.luckyscent.com/products/dandelion-butter-by-clue
White Rice,Brands,Eau de Parfum,Unisex,Vietnam,2023,$,"Rice, Pandan, Orris, Jasmine, White Musk, Cedarwood, Tonka Bean","Creamy, Floral - Light, Gourmand, Milky, Powdery / Soft, Skin Scent / Minimal",d'Annam,https://www.luckyscent.com/products/white-rice-by-dannam
Pear Pavlova,Brands,Eau de Parfum,Unisex,,2025,$,"Juicy Pear, Fluffy Musk, Whipped Meringue","Creamy, Fruity, Gourmand, Powdery / Soft, Sweet","Pear Pavlova is crafted with some of perfumeryâs most exceptional ingredients. It opens with Pink Peppercorn CO2, one of the most refined and precious extractions, known for its bright fruitiness and sparkling freshness. This is paired with Bitter Almond Oil, one of the rare natural materials that gives a true fruity note, where most creations would rely on a synthetic accord. At the heart, Indian Jasmine Sambac Absolute adds radiance, richness, and that unmistakable floral diffusion. But the star of the formula is Ambrette Seed Absolute: a vegan natural musk of extraordinary quality, rarely showcased so boldly. Extracted from Hibiscus Abelmoschus, itâs one of perfumeryâs most luxurious naturals. Pears naturally carry an ambrette facet, making the pairing effortless and addictive.",https://www.luckyscent.com/products/pear-pavlova-by-french-cowboy
Chloe Sevigny Little Flower,Brands,Eau de Parfum,Feminine,United States,2019,$,"Black Tea, Bleeding Heart, Blackcurrant Bud, Peony, Palo Santo, Pomelo, Honeysuckle, Rose Absolute, Musk","Floral, Floral - Citrus, Woody - Fresh","From her beginning days as a 90's streetwear fashion icon and ""the coolest girl in the world"" to an award-winning career in film and television, ChloÃ« Sevigny is truly one of a kind- a star who follows her own creativity and places passion over profit. Naturally, we knew her signature fragrance would have to be more than a by-the-numbers celebuscent, but Little Flower is so much more than we could have expected- a disarmingly fresh, exuberantly sexy rose that feels youthful and provocative all at once.",https://www.luckyscent.com/products/chloe-sevigny-little-flower-by-regime-des-fleurs
Tears,Brands,,Unisex,United States,2022,$,"Lilac, Orris, Olibanum, Frankincense, Orange Blossom, Green Cognac Oil, Rosewater, Pink Pepper, Mandarin Oil, Ambergris","Floral - Ambery Spice, Floral - White, Fresh - Citrus",Regime des Fleurs,https://www.luckyscent.com/products/tears-by-regime-des-fleurs
Unknown Pleasures,Brands,Eau de Parfum,Unisex,United States,2013,$,"Earl Grey Tea, Sicilian Lemon, Bergamot, Honeycomb, Tonka Bean, Caramel, Vanilla, And Waffle Cone","Gourmand, Sweet, Warm",Kerosene,https://www.luckyscent.com/products/unknown-pleasures-by-kerosene
April Theme: APRIL SHOWERS,Brands,,,,,$,,,"Perfume Room Smell Club is a monthly virtual gathering where members meet to discover new, curated scents together. Think: a book club, but for perfume! Enjoy a new pack (and theme) each month (never to be repeated!), hosted and curated by Perfume Room podcast host, Emma Vernon.",https://www.luckyscent.com/products/april-theme-april-showers-by-perfume-room-smell-club
Wild Vetiver,Brands,Eau de Parfum,Unisex,,2026,$,"Timur Pepper, Bergamot, Pink Pepper, Rose Centifolia, Geranium, Blackcurrant Bud, Vetiver, Cedarwood, Amberwood","Floral - Spicy, Spicy, Woody Ambery Floral",Odette Parfum Co.,https://www.luckyscent.com/products/wild-vetiver-by-creed
Molecule 01 + Champaca,Brands,Eau de Toilette,Unisex,,2026,$,"Iso-e Super, Champaca","Floral - Light, Fresh - Clean, Woody - Fresh, Woody - Light","Countless fragrance lovers have fallen for the almost irresistible pull of Molecule 01, which featured the subtly warm and velvety molecule Iso E Super to cocoon the wearer in a near-invisible aura of chic and seductive scent. M+ is the continuation of perfumer Geza Schoen's gift for impactful minimalism, an imagining of a unforgettable dance between Iso E Super and just one other beautiful, carefully chosen ingredient.",https://www.luckyscent.com/products/molecule-01-champaca-by-escentric-molecules
Dia x Meg Webster,Brands,Eau de Toilette,Unisex,,2026,$,"Madagascar Bay Oil, Geranium, Olibanum, Carrot Seed Oil, Mushroom Accord (myrrh Absolute, Labdanum Absolute, Tree Moss Absolute), Madagascar Patchouli, Mineral Wood, Sandalwood","Earthy, Green / Herbaceous, Natural/Organic, Spicy, Woody - Fresh",Les Bains Guerbois,https://www.luckyscent.com/products/dia-x-meg-webster-by-comme-des-garcons
Shiver,Brands,Eau de Parfum,Unisex,,,$,"Eucalyptus, Bergamot, Ivy, White Pepper, Wet Concrete, Vetiver, Cold Metal, Orris, Pear, Pure Amber, Cedar, Oakmoss, Musk, Patchouli","Avant-Garde, Earthy, Fresh, Green / Herbaceous, Metallic, Woody - Fresh",Simone Andreoli,https://www.luckyscent.com/products/shiver-by-nostos
Teen,Brands,Eau de Parfum,Unisex/Feminine,,,$,"Blood Orange, Bergamot, Ripe Passionfruit, Rose, Fresh Cut Grass, Violet Leaf, Vanilla Bean, Tonka, Cashmere Musk","Floral - Fruity, Fresh - Citrus, Green / Herbaceous, Sweet",Kerosene,https://www.luckyscent.com/products/teen-by-nostos
Calico,Brands,Eau de Parfum,Unisex,,,$,"Toasted Rice, Bergamot, Kitten Fur, Jasmine Sambac, Honeysuckle, Warm Milk, Heliotrope, Orange Blossom, Pillowy Musk, Clean Vanilla","Creamy, Floral - Light, Floral - White, Milky, Powdery / Soft",Nostos,https://www.luckyscent.com/products/calico-by-nostos
Tawakkul,Brands,Extrait,Unisex,,2026,$,"Amaretto, Cardamom, Leather, Oud, Tonka Bean","Fruity, Gourmand, Resinous / Balsamic, Sweet",Jousset Parfums,https://www.luckyscent.com/products/tawakkul-by-adamo-parfum
Palm Oases,Brands,Extrait,Unisex,,2026,$,"Coconut Mousse, Vanilla Cream, Tropical Flowers, Chantilly Cream, Macadamia Nut, White Musk","Creamy, Floral, Gourmand, Sweet, Tropical / Beachy","Palm Oases is inspired by the exclusive French Antilles heaven of Saint Martin and instantly transports you to a peaceful sanctuary, far from daily hustle and bustle.",https://www.luckyscent.com/products/palm-oases-by-simone-andreoli
Petit Gateau,Brands,Eau de Parfum,Unisex,,,$,"Honey Marzipan, Chantilly Cream, Brown Butter, Toasted Tonka Bean, Bruleed Vanilla","Creamy, Gourmand, Sweet","""Paris is my favorite place in the world, Petit GÃ¢teau was inspired by the delicate sweetness of Montmartre, the enchanting hilltop neighborhood in Paris where I first fell in love with my husband. Each morning I visited the same neighborhood pÃ¢tisserie, where the heady scent of caramelized sugar and delicate, hand-made cakes filled the air. This everyday gourmand celebrates the indulgent coziness of sharing something just as sweet and warm.""",https://www.luckyscent.com/products/petit-gateau-by-odette-parfum-co
Coup de Pied,Brands,Eau de Parfum,Unisex/Feminine,,,$,"Mimosa Blossom, Ile Flottante, Blonde Musk, Olibanum, Tolu Balsam, Vanilla, Sandalwood, Amber Resin, Honey Incense","Floral, Powdery / Soft, Sweet, Woody Ambery Floral",Odette Parfum Co.,https://www.luckyscent.com/products/coup-de-pied-by-odette-parfum-co
Grand Battement,Brands,Eau de Parfum,Unisex,,,$,"Spiced Frangipane, Golden Amber, Praline, Caramelized Fig, Tonka Bean, Ambergris, Labdanum, Tobacco Musk, Patchouli","Earthy, Fruity, Resinous / Balsamic, Smoky, Sweet",Odette Parfum Co.,https://www.luckyscent.com/products/grand-battement-by-odette-parfum-co
Madeleine,Brands,Eau de Parfum,Unisex/Masculine,,,$,"Noix De Coco, Chantilly Cream, Coconut Milk, Almond Cake, Tonka Bean, Vanilla Marzipan","Creamy, Gourmand, Sweet",Odette Parfum Co.,https://www.luckyscent.com/products/madeleine-by-odette-parfum-co
Pas de Chat,Brands,Eau de Parfum,Unisex,,,$?,"Madeleine Cake, Pink Pepper, Kitten Fur, Cashmeran, Iso-e Super, Amber, Vanilla Bean, Ambrette Musk, Tonka Bean","Gourmand, Powdery / Soft, Sweet, Woody - Fresh","""I had been searching for a signature fragrance for myself for more years than I could count, and nothing ever felt just right. This formula is based around the idea of a satin, skin-like vanilla with no flowers, fruit, leather, tobacco or smoke and nothing herbaceous or too sugary sweet. Pas de Chat marked the end of my search for an everyday signature. Vanilla-scented skin as soft as a warm madeleine, kissed with clean, sweet muskâ simple, everyday luxury.""",https://www.luckyscent.com/products/pas-de-chat-by-odette-parfum-co
Amants Maudits,Brands,Eau de Parfum,Unisex/Feminine,,,$,"Blood Orange, Peach Leaf, Blackthorn, Rose, Blackberry, Cypress, Musk, Oud, Frankincense, Sandalwood","Floral - Citrus, Floral - Fruity, Fruity, Powdery / Soft, Sweet",Odette Parfum Co.,https://www.luckyscent.com/products/amants-maudits-by-odette-parfum-co
Lapinou,Brands,Eau de Parfum,Unisex/Feminine,,,$,"Pastilles Citron, Black Tea, Dried Iris, Noix De Coco Sables, Velvet Ribbon, Musk, Ambered Vetiver, Sandalwood, Knit Cashmere","Floral, Gourmand, Powdery / Soft, Smoky, Sweet","""Sunlight streams into Lorraine's kitchen. Bundles of knitting strewn about. She calls for me to help her open the window because the latch is stuck. 'Lapinou! Lapinou!' I was twisting irises through my fingers. I will always remember the velvet ribbon trim on her dresses and downy socks... A tribute to my grand-mÃ¨re who called me Lapinou (bunny) and spending time baking in her kitchen in France together. Cups of steaming hot black tea, coconut sablÃ© cookies cooling on the marble countertop, bowl of lemon candies, and heaps of knitting yarn and velvet ribbon trimmed dresses.""",https://www.luckyscent.com/products/lapinou-by-odette-parfum-co
Pain au Chocolat,Brands,Eau de Parfum,Unisex,,2025,$,"Salt, Butter, Dark Cocoa, Chocolate Ganache, Charred Wood, Vanilla, Milk, Puff Pastry Accord","Creamy, Earthy, Gourmand, Sweet",Odette Parfum Co.,https://www.luckyscent.com/products/pain-au-chocolat-by-odette-parfum-co
Mezcal Chocolat,Brands,Eau de Parfum,Unisex,,2025,$,"Chili Pepper, Salted Lime, Fruity Mexcal, Cacao Absolute, Smoky Vanilla, Creamy Woods","Boozy, Creamy, Gourmand, Smoky, Sweet","Co-creatred with renowned French chef Mathis MoliniÃ©, Mezcal Chocolat is a vivacious gourmand experience fueled by extraordinary raw materials. It hits like a shot of mezcal: it opens with a sparkling Lime Oil, sharpened by Olibanum from Somalia for smoky depth. To push it further, French Cowboy has added an ultra-rare Rhum extract (as costly as some of perfumeryâs finest Iris).",https://www.luckyscent.com/products/mezcal-chocolat-by-french-cowboy
Marscapone & Speculoos,Brands,Eau de Parfum,Unisex,,2026,$,"Marscapone, Whiskey, Butter, Coffee, Cream, Cinnamon, Caramel, Vanilla, Biscuit, Sugar","Creamy, Gourmand, Milky, Sweet","Say""Bonjour""to Les Mignardises- Jousset's most beloved, sought-after, intensely addictive seasonal drops, reimagined and perfected as a permanent, essential, and deliciously accessible collection of everyday-perfect gourmands.",https://www.luckyscent.com/products/marscapone-speculoos-by-jousset-parfums
Capuccino & Cornetto,Brands,Eau de Parfum,Unisex,,2026,$,"Milk, Coconut Cream, Salted Butter, Cocoa Powder, Hazelnut, Vanilla, Sugar, Croissant","Creamy, Earthy, Gourmand, Sweet","Say""Bonjour""to Les Mignardises- Jousset's most beloved, sought-after, intensely addictive seasonal drops, reimagined and perfected as a permanent, essential, and deliciously accessible collection of everyday-perfect gourmands.",https://www.luckyscent.com/products/capuccino-cornetto-by-jousset-parfums
